CLASS	CAT	X	Y	W	H	PATH	xPOS	yPOS	zPOS	WIDTH	HEIGHT	xSPEED	ySPEED	FUN	TYPE	PL	PV	nFRAMES
1000	1000	0	-69.0
gtk.Oggetto	pavimento	224	0.0	32	32	./Sprites/Pianure.png	0.0	0.0	0.0	1000	1000	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	64.0	32	32	./Sprites/Pianure.png	0.0	0.0	0.0	100	100	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	64.0	32	32	./Sprites/Pianure.png	100.0	0.0	0.0	100	100	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	64.0	32	32	./Sprites/Pianure.png	0.0	100.0	0.0	100	100	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	64.0	32	32	./Sprites/Pianure.png	100.0	100.0	0.0	100	100	0.1	0.1	objf._Void	nan	0.0	0.0	1
gtk.Oggetto	pavimento	224	64.0	32	32	./Sprites/Pianure.png	200.0	0.0	0.0	100	100	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	224	64.0	32	32	./Sprites/Pianure.png	200.0	100.0	0.0	100	100	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	224	96.0	32	32	./Sprites/Pianure.png	200.0	200.0	0.0	100	100	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	192	96.0	32	32	./Sprites/Pianure.png	100.0	200.0	0.0	100	100	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	pavimento	32	128.0	32	32	./Sprites/Pianure.png	0.0	200.0	0.0	100	100	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	ostacolo	4	0.0	24	32	./Sprites/Alberi.png	139.0	313.0	0.0	100	110	0.1	0.1	objf.collinionObstacles	albero	20.0	60.0	1
gtk.Oggetto	pavimento	224	96.0	32	32	./Sprites/Pianure.png	0.0	300.0	0.0	100	100	0.1	0.1	objf.collinionObstacles	nan	0.0	0.0	1
gtk.Oggetto	ostacolo	4	0.0	24	32	./Sprites/Alberi.png	191.0	296.0	0.0	100	110	0.1	0.1	objf.collinionObstacles	nan	20.0	60.0	1
gtk.Oggetto	ostacolo	4	0.0	24	32	./Sprites/Alberi.png	248.0	394.0	0.0	100	110	0.1	0.1	objf.collinionObstacles	nan	20.0	60.0	1
gtk.Oggetto	ostacolo	96	0.0	32	32	./Sprites/Alberi.png	542.0	100.0	0.0	120	120	0.1	0.1	objf.collinionObstacles	nan	20.0	60.0	1
gtk.Oggetto	ostacolo	2	1.0	34	34	./Sprites/Rocce.png	434.0	-44.0	0.0	120	120	0.1	0.1	objf.collinionObstacles	nan	5.0	60.0	1
gtk.Oggetto	ostacolo	2	1.0	34	34	./Sprites/Rocce.png	358.0	-60.0	0.0	120	120	0.1	0.1	objf.collinionObstacles	nan	5.0	60.0	1
gtk.Oggetto	ostacolo	2	1.0	34	34	./Sprites/Rocce.png	281.0	-82.0	0.0	120	120	0.1	0.1	objf.collinionObstacles	nan	5.0	60.0	1
gtk.Oggetto	ostacolo	2	1.0	34	34	./Sprites/Rocce.png	519.0	-82.0	0.0	120	120	0.1	0.1	objf.collinionObstacles	nan	5.0	60.0	1
gtk.Oggetto	ostacolo	111	15.0	18	17	./Sprites/Rocce.png	473.0	262.0	0.0	50	50	0.1	0.1	objf.collinionObstacles	nan	5.0	15.0	1
gtk.Oggetto	ostacolo	111	15.0	18	17	./Sprites/Rocce.png	530.0	328.0	0.0	50	50	0.1	0.1	objf.collinionObstacles	nan	5.0	15.0	1
gtk.Oggetto	ostacolo	160	16.0	16	16	./Sprites/Alberi.png	463.0	430.0	0.0	50	50	0.1	0.1	objf.collinionObstacles	nan	5.0	15.0	1
gtk.Oggetto	ostacolo	160	16.0	16	16	./Sprites/Alberi.png	515.0	430.0	0.0	50	50	0.1	0.1	objf.collinionObstacles	nan	5.0	15.0	1
gtk.Oggetto	ostacolo	160	16.0	16	16	./Sprites/Alberi.png	550.0	457.0	0.0	50	50	0.1	0.1	objf.collinionObstacles	nan	5.0	15.0	1
gtk.Oggetto	ostacolo	4	0	24	32	./Sprites/Alberi.png	644	242	0	100	100	0.1	0.1	objf.collinionObstacles		20	65	1
